model,pruning_method,batch_size,lr,patience,min_delta,prune_biases,snip_mini_batches,seed,fraction,accuracy
small_cnn,magnitude,64,0.01,5,1e-05,True,,42,0.25,56.64
small_cnn,magnitude,64,0.01,5,1e-05,True,,42,0.5,55.010000000000005
small_cnn,magnitude,64,0.01,5,1e-05,True,,42,0.75,28.07
small_cnn,magnitude,64,0.01,5,1e-05,True,,42,0.9,15.09
small_cnn,magnitude,128,0.01,5,1e-05,True,,42,0.25,57.25
small_cnn,magnitude,128,0.01,5,1e-05,True,,42,0.5,55.1
small_cnn,magnitude,128,0.01,5,1e-05,True,,42,0.75,29.360000000000003
small_cnn,magnitude,128,0.01,5,1e-05,True,,42,0.9,15.7
small_cnn,magnitude,256,0.01,5,1e-05,True,,42,0.25,58.230000000000004
small_cnn,magnitude,256,0.01,5,1e-05,True,,42,0.5,55.11000000000001
small_cnn,magnitude,256,0.01,5,1e-05,True,,42,0.75,29.23
small_cnn,magnitude,256,0.01,5,1e-05,True,,42,0.9,10.0
small_cnn,magnitude,64,0.001,5,1e-05,True,,42,0.25,57.95
small_cnn,magnitude,64,0.001,5,1e-05,True,,42,0.5,55.669999999999995
small_cnn,magnitude,64,0.001,5,1e-05,True,,42,0.75,28.46
small_cnn,magnitude,64,0.001,5,1e-05,True,,42,0.9,10.0
small_cnn,magnitude,128,0.001,5,1e-05,True,,42,0.25,58.209999999999994
small_cnn,magnitude,128,0.001,5,1e-05,True,,42,0.5,55.669999999999995
small_cnn,magnitude,128,0.001,5,1e-05,True,,42,0.75,28.93
small_cnn,magnitude,128,0.001,5,1e-05,True,,42,0.9,10.0
small_cnn,magnitude,256,0.001,5,1e-05,True,,42,0.25,58.26
small_cnn,magnitude,256,0.001,5,1e-05,True,,42,0.5,55.92
small_cnn,magnitude,256,0.001,5,1e-05,True,,42,0.75,29.17
small_cnn,magnitude,256,0.001,5,1e-05,True,,42,0.9,10.0
