model,pruning_method,batch_size,lr,patience,min_delta,prune_biases,snip_mini_batches,seed,fraction,test_accuracy_immediate,best_val_loss_ft,val_acc_at_best_loss_ft,epochs_finetuned_ft
small_cnn,magnitude,256,0.01,10,1e-05,True,,42,0.6,51.480000000000004,1.3785767674446106,51.35999999999999,45
small_cnn,magnitude,256,0.01,10,1e-05,True,,42,0.7,41.54,1.7113149762153625,40.760000000000005,59
small_cnn,magnitude,256,0.01,10,1e-05,True,,42,0.8,26.900000000000002,2.0447015881538393,27.66,69
small_cnn,magnitude,256,0.01,10,1e-05,True,,42,0.9,15.75,2.2593103766441347,16.08,78
small_cnn,magnitude,256,0.001,10,1e-05,True,,42,0.6,52.26,1.3745394825935364,51.42,210
small_cnn,magnitude,256,0.001,10,1e-05,True,,42,0.7,41.36,1.716812402009964,40.300000000000004,337
small_cnn,magnitude,256,0.001,10,1e-05,True,,42,0.8,25.4,2.0467364311218263,26.38,336
small_cnn,magnitude,256,0.001,10,1e-05,True,,42,0.9,10.0,2.302573537826538,10.14,28
small_cnn,magnitude,256,0.0001,10,1e-05,True,,42,0.6,51.629999999999995,1.3964903235435486,51.519999999999996,821
small_cnn,magnitude,256,0.0001,10,1e-05,True,,42,0.7,39.269999999999996,1.7649219512939454,38.96,1000
small_cnn,magnitude,256,0.0001,10,1e-05,True,,42,0.8,23.57,2.0871685981750487,24.66,1000
small_cnn,magnitude,256,0.0001,10,1e-05,True,,42,0.9,10.0,2.302576148509979,10.14,101
