model,pruning_method,batch_size,lr,patience,min_delta,prune_biases,snip_mini_batches,seed,fraction,accuracy
small_cnn,snip,64,0.01,5,1e-05,,1,42,0.25,54.92
small_cnn,snip,64,0.01,5,1e-05,,1,42,0.5,54.379999999999995
small_cnn,snip,64,0.01,5,1e-05,,1,42,0.75,49.51
small_cnn,snip,64,0.01,5,1e-05,,1,42,0.9,40.1
small_cnn,snip,128,0.01,5,1e-05,,1,42,0.25,56.510000000000005
small_cnn,snip,128,0.01,5,1e-05,,1,42,0.5,56.05
small_cnn,snip,128,0.01,5,1e-05,,1,42,0.75,49.58
small_cnn,snip,128,0.01,5,1e-05,,1,42,0.9,40.89
small_cnn,snip,256,0.01,5,1e-05,,1,42,0.25,57.19
small_cnn,snip,256,0.01,5,1e-05,,1,42,0.5,56.26
small_cnn,snip,256,0.01,5,1e-05,,1,42,0.75,50.27
small_cnn,snip,256,0.01,5,1e-05,,1,42,0.9,39.25
small_cnn,snip,64,0.01,5,1e-05,,3,42,0.25,56.84
small_cnn,snip,64,0.01,5,1e-05,,3,42,0.5,55.169999999999995
small_cnn,snip,64,0.01,5,1e-05,,3,42,0.75,49.89
small_cnn,snip,64,0.01,5,1e-05,,3,42,0.9,41.199999999999996
small_cnn,snip,128,0.01,5,1e-05,,3,42,0.25,56.76
small_cnn,snip,128,0.01,5,1e-05,,3,42,0.5,56.279999999999994
small_cnn,snip,128,0.01,5,1e-05,,3,42,0.75,50.67
small_cnn,snip,128,0.01,5,1e-05,,3,42,0.9,41.25
small_cnn,snip,256,0.01,5,1e-05,,3,42,0.25,57.809999999999995
small_cnn,snip,256,0.01,5,1e-05,,3,42,0.5,56.279999999999994
small_cnn,snip,256,0.01,5,1e-05,,3,42,0.75,52.290000000000006
small_cnn,snip,256,0.01,5,1e-05,,3,42,0.9,41.03
small_cnn,snip,64,0.01,5,1e-05,,5,42,0.25,55.86
small_cnn,snip,64,0.01,5,1e-05,,5,42,0.5,55.720000000000006
small_cnn,snip,64,0.01,5,1e-05,,5,42,0.75,51.22
small_cnn,snip,64,0.01,5,1e-05,,5,42,0.9,40.71
small_cnn,snip,128,0.01,5,1e-05,,5,42,0.25,56.79
small_cnn,snip,128,0.01,5,1e-05,,5,42,0.5,56.779999999999994
small_cnn,snip,128,0.01,5,1e-05,,5,42,0.75,51.239999999999995
small_cnn,snip,128,0.01,5,1e-05,,5,42,0.9,42.04
small_cnn,snip,256,0.01,5,1e-05,,5,42,0.25,57.65
small_cnn,snip,256,0.01,5,1e-05,,5,42,0.5,56.37
small_cnn,snip,256,0.01,5,1e-05,,5,42,0.75,51.88
small_cnn,snip,256,0.01,5,1e-05,,5,42,0.9,39.910000000000004
small_cnn,snip,64,0.001,5,1e-05,,1,42,0.25,58.660000000000004
small_cnn,snip,64,0.001,5,1e-05,,1,42,0.5,56.55
small_cnn,snip,64,0.001,5,1e-05,,1,42,0.75,51.49
small_cnn,snip,64,0.001,5,1e-05,,1,42,0.9,40.29
small_cnn,snip,128,0.001,5,1e-05,,1,42,0.25,58.650000000000006
small_cnn,snip,128,0.001,5,1e-05,,1,42,0.5,56.8
small_cnn,snip,128,0.001,5,1e-05,,1,42,0.75,51.11
small_cnn,snip,128,0.001,5,1e-05,,1,42,0.9,40.18
small_cnn,snip,256,0.001,5,1e-05,,1,42,0.25,57.98
small_cnn,snip,256,0.001,5,1e-05,,1,42,0.5,56.07
small_cnn,snip,256,0.001,5,1e-05,,1,42,0.75,50.129999999999995
small_cnn,snip,256,0.001,5,1e-05,,1,42,0.9,39.82
small_cnn,snip,64,0.001,5,1e-05,,3,42,0.25,58.650000000000006
small_cnn,snip,64,0.001,5,1e-05,,3,42,0.5,56.85
small_cnn,snip,64,0.001,5,1e-05,,3,42,0.75,51.65
small_cnn,snip,64,0.001,5,1e-05,,3,42,0.9,41.78
small_cnn,snip,128,0.001,5,1e-05,,3,42,0.25,58.48
small_cnn,snip,128,0.001,5,1e-05,,3,42,0.5,57.440000000000005
small_cnn,snip,128,0.001,5,1e-05,,3,42,0.75,51.93
small_cnn,snip,128,0.001,5,1e-05,,3,42,0.9,40.06
small_cnn,snip,256,0.001,5,1e-05,,3,42,0.25,58.620000000000005
small_cnn,snip,256,0.001,5,1e-05,,3,42,0.5,56.76
small_cnn,snip,256,0.001,5,1e-05,,3,42,0.75,51.959999999999994
small_cnn,snip,256,0.001,5,1e-05,,3,42,0.9,40.93
small_cnn,snip,64,0.001,5,1e-05,,5,42,0.25,58.36
small_cnn,snip,64,0.001,5,1e-05,,5,42,0.5,57.099999999999994
small_cnn,snip,64,0.001,5,1e-05,,5,42,0.75,52.0
small_cnn,snip,64,0.001,5,1e-05,,5,42,0.9,41.410000000000004
small_cnn,snip,128,0.001,5,1e-05,,5,42,0.25,58.32000000000001
small_cnn,snip,128,0.001,5,1e-05,,5,42,0.5,57.489999999999995
small_cnn,snip,128,0.001,5,1e-05,,5,42,0.75,52.56999999999999
small_cnn,snip,128,0.001,5,1e-05,,5,42,0.9,40.129999999999995
small_cnn,snip,256,0.001,5,1e-05,,5,42,0.25,58.87
small_cnn,snip,256,0.001,5,1e-05,,5,42,0.5,57.269999999999996
small_cnn,snip,256,0.001,5,1e-05,,5,42,0.75,52.21
small_cnn,snip,256,0.001,5,1e-05,,5,42,0.9,40.54
small_cnn,snip,64,0.0001,5,1e-05,,1,42,0.25,58.60999999999999
small_cnn,snip,64,0.0001,5,1e-05,,1,42,0.5,56.95
small_cnn,snip,64,0.0001,5,1e-05,,1,42,0.75,50.28
small_cnn,snip,64,0.0001,5,1e-05,,1,42,0.9,38.16
small_cnn,snip,128,0.0001,5,1e-05,,1,42,0.25,58.68
small_cnn,snip,128,0.0001,5,1e-05,,1,42,0.5,56.410000000000004
small_cnn,snip,128,0.0001,5,1e-05,,1,42,0.75,49.559999999999995
small_cnn,snip,128,0.0001,5,1e-05,,1,42,0.9,36.26
small_cnn,snip,256,0.0001,5,1e-05,,1,42,0.25,58.099999999999994
small_cnn,snip,256,0.0001,5,1e-05,,1,42,0.5,56.58
