model,pruning_method,batch_size,lr,patience,min_delta,prune_biases,snip_mini_batches,seed,fraction,test_accuracy_immediate,best_val_loss_ft,val_acc_at_best_loss_ft,epochs_finetuned_ft
vgg19,magnitude,256,0.01,10,1e-05,True,,42,0.9,10.0,2.3023094177246093,10.24,19
vgg19,magnitude,256,0.01,10,1e-05,True,,42,0.95,10.0,2.302357184886932,10.280000000000001,20
vgg19,magnitude,256,0.01,10,1e-05,True,,42,0.97,10.0,2.302341604232788,10.639999999999999,23
vgg19,magnitude,256,0.01,10,1e-05,True,,42,0.99,10.0,2.302356684207916,10.14,36
vgg19,magnitude,256,0.001,10,1e-05,True,,42,0.9,88.32,0.16761594116687775,94.48,11
vgg19,magnitude,256,0.001,10,1e-05,True,,42,0.95,88.99000000000001,0.1347472570836544,95.88,13
vgg19,magnitude,256,0.001,10,1e-05,True,,42,0.97,88.69,0.19810477495193482,93.72,14
vgg19,magnitude,256,0.001,10,1e-05,True,,42,0.99,74.42,0.9611854076385498,74.33999999999999,38
vgg19,magnitude,256,0.0001,10,1e-05,True,,42,0.9,91.66,0.008844729661359452,99.8,16
vgg19,magnitude,256,0.0001,10,1e-05,True,,42,0.95,91.59,0.016637675228412262,99.56,34
vgg19,magnitude,256,0.0001,10,1e-05,True,,42,0.97,89.12,0.15293363593518733,95.66,21
vgg19,magnitude,256,0.0001,10,1e-05,True,,42,0.99,46.129999999999995,1.3393033742904663,46.54,73
