model,pruning_method,batch_size,lr,patience,min_delta,prune_biases,snip_mini_batches,seed,fraction,accuracy
vgg19,snip,256,0.01,10,1e-05,,1,42,0.9,10.0
vgg19,snip,256,0.01,10,1e-05,,1,42,0.95,10.0
vgg19,snip,256,0.01,10,1e-05,,1,42,0.97,10.0
vgg19,snip,256,0.01,10,1e-05,,1,42,0.99,10.0
vgg19,snip,256,0.01,10,1e-05,,3,42,0.9,10.0
vgg19,snip,256,0.01,10,1e-05,,3,42,0.95,10.0
vgg19,snip,256,0.01,10,1e-05,,3,42,0.97,10.0
vgg19,snip,256,0.01,10,1e-05,,3,42,0.99,10.0
vgg19,snip,256,0.01,10,1e-05,,5,42,0.9,10.0
vgg19,snip,256,0.01,10,1e-05,,5,42,0.95,10.0
vgg19,snip,256,0.01,10,1e-05,,5,42,0.97,10.0
vgg19,snip,256,0.01,10,1e-05,,5,42,0.99,10.0
vgg19,snip,256,0.001,10,1e-05,,1,42,0.9,87.53999999999999
vgg19,snip,256,0.001,10,1e-05,,1,42,0.95,85.69
vgg19,snip,256,0.001,10,1e-05,,1,42,0.97,84.19
vgg19,snip,256,0.001,10,1e-05,,1,42,0.99,10.0
vgg19,snip,256,0.001,10,1e-05,,3,42,0.9,86.98
vgg19,snip,256,0.001,10,1e-05,,3,42,0.95,88.14999999999999
vgg19,snip,256,0.001,10,1e-05,,3,42,0.97,84.61999999999999
vgg19,snip,256,0.001,10,1e-05,,3,42,0.99,10.0
vgg19,snip,256,0.001,10,1e-05,,5,42,0.9,87.72
vgg19,snip,256,0.001,10,1e-05,,5,42,0.95,87.15
vgg19,snip,256,0.001,10,1e-05,,5,42,0.97,83.19
vgg19,snip,256,0.001,10,1e-05,,5,42,0.99,10.0
vgg19,snip,256,0.0001,10,1e-05,,1,42,0.9,90.81
vgg19,snip,256,0.0001,10,1e-05,,1,42,0.95,88.34
vgg19,snip,256,0.0001,10,1e-05,,1,42,0.97,80.14
vgg19,snip,256,0.0001,10,1e-05,,1,42,0.99,59.489999999999995
vgg19,snip,256,0.0001,10,1e-05,,3,42,0.9,91.27
vgg19,snip,256,0.0001,10,1e-05,,3,42,0.95,88.82
vgg19,snip,256,0.0001,10,1e-05,,3,42,0.97,76.89
vgg19,snip,256,0.0001,10,1e-05,,3,42,0.99,37.25
vgg19,snip,256,0.0001,10,1e-05,,5,42,0.9,90.77
vgg19,snip,256,0.0001,10,1e-05,,5,42,0.95,87.92
vgg19,snip,256,0.0001,10,1e-05,,5,42,0.97,78.91
vgg19,snip,256,0.0001,10,1e-05,,5,42,0.99,49.0
